,category,content
1868,tech," Sony's Playstation Portable is the top gadget for 2005, according to a round-up of ultimate gizmos compiled by Stuff Magazine.  It beats the iPod into second place in the Top Ten Essentials list which predicts what gadget-lovers are likely to covet this year. Owning all 10 gadgets will set the gadget lover back £7,455. That is £1,000 cheaper than last year's list due to falling manufacturing costs making gadgets more affordable.  Portable gadgets dominate the list, including Sharp's 902 3G mobile phone, the Pentax Optio SV digital camera and Samsung's Yepp YH-999 video jukebox.  ""What this year's Essentials shows is that gadgets are now cheaper, sexier and more indispensable than ever. We've got to the point where we can't live our lives without certain technology,"" said Adam Vaughan, editor of Stuff Essentials. The proliferation of gadgets in our homes is inexorably altering the role of the high street in our lives thinks Mr Vaughan. ""Take digital cameras, who would now pay to develop an entire film of photos? Or legitimate downloads, who would travel miles to a record shop when they could download the song in minutes for 70p?"" he asks. Next year will see a new set of technologies capturing the imaginations of gadget lovers, Stuff predicts. The Xbox 2, high-definition TV and MP3 mobiles will be among the list of must-haves that will dominate 2006, it says. The spring launch of the PSP in the UK is eagerly awaited by gaming fans. "
572,entertainment," French film A Very Long Engagement has received 12 nominations for France's Cesar film awards, despite a recent ruling it was ""not French enough"".  The World War I romantic drama starring Audrey Tautou, was recently ruled ""too American"" by a Paris court as it was partially backed by Warner Bros. But the Cesar organisers modified their rules to allow the film to compete. The film, directed by Jean-Pierre Jeunet, received best actress, picture and director nominations.  Last November a court judged the film was too American to compete in French film festivals. Two associations of French producers challenged Jeunet's right to French government subsidies, because Warner Bros was a backer. The ruling meant the movie - which was filmed in France and used French actors and technicians - was not eligible to compete for French prizes. But Alain Terzian, president of Cesar organisers, the Academie des Arts et Techniques du Cinema, said the changes in eligibility rules, which allow films ""of French expression"", were made three months prior to the court decision. Other films in the best film category include Police drama 36, Quai Des Orfevres, Arnaud Desplechin's Kings And Queen, Abdellatif Kechiche's L'Esquive and France's number one film at the 2004 box-office The Chorus.  Best actors are Daniel Auteuil for 36, Mathieu Amalric for Kings And Queen, Gerard Jugnot for The Chorus, Philippe Torreton for L'Equipier and Benoit Poelvoorde for Podium. Tautou will compete against Maggie Cheung , Emmanuelle Devos, Yolande Moreau and Karin Viard for best actress. Michael Moore's Fahrenheit 9/11, The Motorcycle Diaries, Lost in Translation, Eternal Sunshine of the Spotless Mind and 21 Grams are all vying in the best foreign film prize. The awards ceremony will be held on 26 February. This year, Will Smith, star of I, Robot, Independence Day and Men In Black, will be given an honorary Cesar, along with French singer/actor, Jacques Dutronc. "
1708,sport," Rhys Williams says Wales are still not thinking of winning the Grand Slam despite a third Six Nations win.  ""That's the last thing on our minds at the moment,"" said Williams, a second- half replacement in Saturday's 24-18 win over France in Paris. ""We all realise how difficult a task it is to go up to Scotland and beat them. ""We've come unstuck there a couple of times recently so our focus is on that game and we'll worry about Ireland hopefully after we've beaten Scotland."" With captain Gareth Thomas ruled out of the rest of the campaign with a broken thumb, Williams is vying for his first start in the championship so far.  Kevin Morgan is probably favourite to replace Thomas at full-back, leaving Williams and Hal Luscombe to battle for the right wing berth. A hamstring injury denied Luscombe the opportunity to make a third successive start, but the Dragons winger is expected to be fit for the trip to Murrayfield on 13 March. Hooker Robin McBryde is doubtful after picking up a knee injury in Paris, but centre Sonny Parker and flanker Colin Charvis are set to recover from injury to be in contention for selection. Said Wales assistant coach Scott Johnson: ""They've worked through the weekend and the reports are a bit more positive. ""So we're getting a couple back and that adds to the depth of the squad."" Scotland secured their first win of the campaign on Saturday by grinding out an 18-10 win over Italy.  Matt Williams' side has shown little in attack, but Johnson insisted the Scots will be difficult opposition to break down. ""Italy are really brave opposition and sometimes it's very hard to win,"" he said. ""So an ugly win can be just as effective as a 30 or 40 point victory. ""Scotland are a hard side and very underrated so we're not taking anything for granted. ""We're not basking in the glory of winning our first three games. We've got to be diligent in our preparation. ""That's my job and we've got to make sure we're focused."" "
2128,tech," The growth in the mobile phone market in the past decade has been nothing less than astonishing, but the ability to communicate on the go is not the only reason we are hooked. Games, cameras and music players have all been added to our handsets in the last few years, but 2005 could see another big innovation that won't just see a change in our mobile phone habits - it might alter the way we listen to the radio. Finnish handset giant Nokia has been working on a technology called Visual Radio, which takes an existing FM signal from a radio station and enables that station to add enhancements such as information and pictures. It is not the first time that such an idea has been suggested - the early days of DAB Digital Radio had similar intentions that never really saw the light of day.  One problem is that the name Visual Radio leads people to think of television but Reidar Wasenius, a senior project manager at Nokia, was adamant that Visual Radio should not be confused with the more traditional medium. He said: ""I'm very happy to say it's not television, what we're talking about is an enhancement of radio as we know it today. ""If you have a Visual Radio enabled handset, when you hear an artist you don't know, or there's a competition or vote that you'd like to participate in, you pull out your handset and with one click you turn on a visual channel parallel to the on-air broadcast you've just been listening to.""  That visual channel is run from a computer within the radio station, and sends out different kinds of information to the handset depending on what you are listening to. As well as details on the track or artist of a particular song, there is also the ability to interact immediately with the radio station itself, in a similar way to digital television's ""red button"" content.  Possible interactive content includes competitions, votes and even the chance to rate the song that is playing. But the interactive aspect will make the service especially attractive to radio stations, who will be able to track the number of people taking part in such activities on a real-time basis. This in turn should lead to an additional source of revenue, as it is very likely that advertisers will be keen to exploit new opportunities to reach listeners.  As the Visual Radio content is transmitted by existing GPRS technology you would need to have that service enabled by your network. And there will be a cost for the service as well, although it may depend on your usage. ""If you enjoy the visual channel occasionally and interact it'll be two or three pounds per month,"" said Mr Wasenius. ""But typically what we see happening is the operator offering a package deal for an 'all you can eat' arrangement per month."" The payment system could therefore be similar to the way that broadband internet works versus dial-up connections. One thing that is for sure - assuming that Nokia retains its market share in handsets, it is estimating that there will be 100 million Visual Radio-enabled mobile phones in circulation by the end of 2006. ""Basically, Visual Radio is not really revolutionary, but rather an evolution where we are providing tools with which people can participate in radio much more easily than ever before.""  The first Visual Radio service in the UK will begin in a few months time with Virgin Radio, who are positive about the impact it could have on their listeners. Station manager Steve Taylor commented: ""Listeners can interact with the radio station in a new way. ""Not only does this give listeners more information on the music we play but means they can instantly purchase things they like; mp3 music downloads and the latest gig tickets."" Initially Visual Radio functionality will be limited to two Nokia handsets due out soon - the 3230 and 7710 - but if successful, it is very likely that other manufacturers will want to join them.  Listen again to the interview on the Radio Five Live website. "
1880,tech," PC first person shooter Half-Life 2 has won six Bafta Awards, including best game and best online game.  The title, developed by Valve, was released last year to universal acclaim - receiving special praise for its immersive plot and physics engine. The game also won Baftas for best action adventure, best PC game, art direction and animation. Burnout 3 won three awards in the categories for racing, technical direction and best PlayStation 2 game. Grant Dean, chairman of the Bafta games awards, said at a ceremony in London on Tuesday: ""The last year has been a great year for the interactive entertainment industry.  ""These awards reflect the enormous achievements, progress and diversity that we have seen in that time."" Halo 2 won the best Xbox game category, while Prince of Persia: Warrior Within was adjudged the best GameCube title. The sports award went to Konami's Pro Evolution Soccer 4. Bafta said the ""significant feature"" of this year's awards was the number of ""non-traditional games"". The originality award was won by PlayStation 2 title Singstar while the children's award went to GameCube bongo rhythm game Donkey Konga. The Handheld Award went to Colin McRae Rally 2005 while the mobile category was won by Blue Tooth Byplanes. The audio award was won by Call of Duty: Finest Hour and Hitman: Contracts won the music award. "
1553,sport," Women's football legend Mia Hamm has played her final game.  Hamm, 32, who officially retired after this year's Athens Olympics, took to the field for the last time to help the US claim a 5-0 win over Mexico. Hamm ends her career as the most prolific scorer - male or female - in international football, with 158 goals in 276 games for the US. She was twice Fifa women's player of the year and won the World Cup in 1991 and 1999 and two Olympic golds. On her retirement, Hamm said: ""There are mixed emotions. There are things in your life that you have had to put on the back-burner and you can focus more time and energy on that now. ""I have to see what is out there and not commit to everything at the beginning."" The friendly also saw the end of Julie Foudy and Joy Fawcett's US careers. Hamm will now embark on a new life with husband, Chicago Cubs shortstop Nomar Garciaparra, who was in the stands to watch her final game. He has just agreed a new deal with the Cubs after joining them in July. "
97,business," The International Monetary Fund is to cut its 2005 growth forecast for the German economy from 1.8% to 0.8%, the Financial Times Deutschland reported.  The IMF will also reduce its growth estimate for the 12-member eurozone economy from 2.2% to 1.6%, the newspaper reported. The German economy has been faltering, with unemployment levels rising to a seventy-year high of 5.2 million. Its sluggish performance continues to hamper the entire eurozone.  The IMF's draft World Economic Outlook - due to be published in April - would point to a marked deterioration in Germany's economy, the FT report said.  In September, the IMF had said that German growth for the current year would be 1.8%. The IMF has also revised eurozone forecasts, the paper said, taking into account high oil prices, the strength of the euro and weak demand in many of the world's leading economies. Europe's economic difficulties have been highlighted by the Organisation for Economic Co-operation and Development, which argued in a report published on Tuesday that the continent could only achieve US living standards by freeing up its labour markets. ""The eurozone does not look like it has a self-sustaining recovery,"" James Carrick, an economist with ABN Amro, told the newspaper. ""It is too dependant on the rest of the world."" "
834,entertainment," Film actress Annette Bening is up for an Oscar for her starring role in the award-winning film Being Julia.  Bening, who was born in Texas in 1958, has gained prominence for a string of key roles. Although an Oscar has so far eluded her, her status as one of Hollywood's favourite actresses remains solid. One of the biggest Oscars buzzes in recent years was for Bening's role as troubled Carolyn Burnham in 1999's American Beauty. But her deliciously neurotic portrayal of surburban life turning sour was overlooked in favour of Hilary Swank's leading role in Boys Don't Cry. After opening her career in the theatre - and gaining a Tony Award nomination in 1986 - Bening had a low-key spell in television. She then made her film debut as a sex-starved wife in 1988's The Great Outdoors, opposite comics Dan Akroyd and John Candy.  Following a cameo in Postcards From The Edge, Bening's breakthrough role came in 1990, playing seductive con artist Myra Langtry in The Grifters - a role that won her an Oscar nomination. Despite some rave reviews, Bening did not win the best supporting actress Academy Award.  However the high-profile performance enabled Bening to capture roles in a number of big budget Hollywood productions, co-starring with some of Hollywood's greatest players, including Robert De Niro and Harrison Ford. But it was her role opposite Warren Beatty in 1991 gangster flick Bugsy which had the greatest impact. Bening played Virginia Hill, another role which won her high critical acclaim, but the film only picked up two of a staggering 12 Oscar nominations.  Bugsy was the start of a very significant liaison for Bening - she married Beatty, with whom she had a child as the couple promoted the film in Europe. The couple now have four children together. A pair of contrasting yet successful performances peppered Bening's career in the mid-1990s. She played Michael Douglas' opposite number in romantic comedy The American President, and as a ""fiery"" Queen Elizabeth I in a contemporary adaptation of Shakespeare's Richard III.  Bening was the first choice to play the female lead in American Beauty, director Sam Mendes' film debut which was a critical and commercial success - but the actress had to be content with a Bafta award for her strong performance. But current film Being Julia has made Bening an award-winning actress rather than the perennial nominee, with success at the Golden Globes. The witty tale of revenge and love set in 1930s London sees the eponymous theatrical diva - played by Bening - grow tired of her success and fall for a young American - and could be the role which finally wins her the coveted Academy Award. "
2028,tech," Broadband's rapid rise continues apace as speeds gear up a notch.  An eight megabit service has been launched by internet service provider UK Online. It is 16 times faster than the average broadband package on the market and will pave the way for services such as video-on-demand and broadband TV. The service is possible due to a new regime which allows other operators to use BT's exchanges and will initially only be available in towns.  It represents a ""big leap forward"" for broadband, said Chris Stening, UK Online general manager.  The service comes with a hefty £39.99 monthly price tag but will mean users can download MP3s in seconds and offers TV-quality video streaming. The service includes WiFi as standard, meaning users can connect multiple PCs, laptops and game consoles from any room in the house. Not everybody will be able to take advantage of the service, as it will be restricted to metropolitan areas. The service will initially be available to users within 2km radius of 230 telephone exchanges in areas such as London, Birmingham, Glasgow and Cambridge. That represents about 4.4 million households. The service is possible due to a decision to loosen BT's strangle-hold on telephone exchanges.  The process, known as local loop unbundling, was put in motion by the now defunct telecoms watchdog Oftel but has only proved popular in recent months due to falling costs. UK Online is looking at the possibility of bundling services such as cheap net telephone calls, video-on-demand and TV by 2005 if the service proves popular. ""The service is twice as fast as any other service on offer in the UK and 16 times faster than most broadband services,"" said Mr Stening. ""It takes a big leap for broadband and we are very excited about it,"" he said. Countries such as South Korea and France have found the advantage of upping the speeds of broadband. In South Korea, video-on-demand over the net is cheaper than renting a DVD and online gaming is huge. Mr Stening believes the service will appeal to people in multi-occupancy buildings as well as easing family arguments. ""A typical family with two adults and two children is currently sharing a 512 kilobit service. This will basically give them 2 megabits each,"" he said. "
926,politics," David Blunkett has apologised to MPs after the Home Office announced ""prematurely"" via press release a review of murder laws.  The home secretary confirmed the review was to get under way in the wake of a Law Commission report which branded the current murder law as ""a mess"". He said the review would look at partial defences to murder, including provocation and at mandatory sentences. The Home Office has already said the review will begin next year.  On Wednesday, a Home Office spokeswoman said the terms of reference for the review had not been established but it was likely to include only England and Wales. News of the review was released because it was thought Mr Blunkett would make the official announcement in a Commons debate on Wednesday. But the announcement never came, with the home secretary saying the debate had never reached that stage. Amid opposition anger, Mr Blunkett had to answer an emergency question in Parliament on Thursday. He said he had taken steps to ensure the incident was not repeated. Shadow home secretary David Davis welcomed his ""gracious apology"" and the review itself. But he argued the minister should have volunteered a formal statement instead of having to be ""dragged"" to face MPs.  In its report, the Law Commission said it had found wide support among criminal justice professionals for an end to the mandatory life sentence for murder. The panel suggested different kinds of murders could be ""graded"" to recognise the seriousness of the offence.  But the Home Office said mandatory life sentences would not be abolished and argued courts already had flexibility. The commission, an independent body including two judges, a senior barrister and sentencing experts, had been asked to consider reforms to the defence of provocation in murder cases. But it said its proposals were unlikely to work without a far wider review of the law. Results of a consultation exercise showed 64 respondents out of 146 - among them 21 judges - believed a mandatory life sentence for every murder was ""indefensible and should cease"".  A key question was whether one category should continue to cover all types of murder from mercy killings to serial or contract killings. The commission found support for the idea of grading murders so that the sentence reflected the seriousness of the offence. But speaking after the report was published, Home Office minister Baroness Scotland said: ""Murder is the most serious of crimes and we have no intention of abolishing the mandatory life sentence. ""Where an offender is convicted of murder, the court must pass a life sentence."" The commission also recommended tightening the law so that the provocation defence cannot be used in cases where someone has killed for revenge, such as a jealous husband who murders an unfaithful wife. "
411,business," Iran's president, Mohammad Khatami, has unveiled a budget designed to expand public spending by 30% but loosen the Islamic republic's dependence on oil.  The budget for the fiscal year starting on 21 March calls for the sell-off of 20% of the state's corporate holdings. Mr Khatami's second term as president ends on 1 August, making this his last budget. But opposition from members of parliament who have attacked previous privatisations could block his plans. Elections in May 2004 ousted many of Mr Khatami's supporters in parliament in favour of more hard-line religious conservatives. Late last year, they backed a law which would give parliament a veto over foreign investment. The ruling was a response to the involvement in telecoms and airport projects by Turkish companies, which hardliners accused of doing business with Israel. It came not long after the Expediency Council - Iran's ultimate decision-maker - blessed Mr Khatami's policy of selling stakes in sectors protected by the constitution such as energy, transport, telecoms and banking. Continued obstruction of foreign investment could get in the way not only of privatisation plans, but also of Mr Khatami's hope of modestly reducing the government's reliance on oil revenues.  In an address to the Majlis, Mr Khatami predicted economic growth of 7.1% in 2005-6, up from 6.7% in the current year. He said he wanted to increase the 2005-6 budget to 1,546 trillion rials ($175.6bn; £93.6bn) from the previous year's 1,070 trillion. Within that figure, taxation would rise to $14.3bn, a rise of over 40% from what is expected from the current year. In contrast, oil revenues were expected to fall to $14.1bn from $16bn in the year to March 2005. ""Current government expenditure should come from tax revenues,"" Mr Khatami said. ""Oil revenues should be used for productive investment."" Mr Khatami has already been blocked by parliament from reducing the subsidies on many products including bread and petrol, reducing his room to manoeuvre. "
89,business," The French government is to hand its struggling wine industry 70m euros ($91m) in aid to help it battle falling sales and damaging overproduction.  The financial package is aimed at assisting vintners in financial trouble and improving how its wine is marketed. The French wine industry, the world's second largest, has been hit by declining consumption at home and the growing popularity of New World wines. Wine makers, however, claimed the support did not go far enough. The package was announced by agriculture minister Dominique Bussereau after talks with vintners' representatives.  The bulk of the money - about 40m euros - will be offered in the form of preferential loans to heavily indebted producers to enable them to reschedule their payments. A further 15m euros will be made available to wine cooperatives, which make up the majority of French producers, in low interest loans. Efforts to promote French wine abroad are to be boosted by an extra 3.5m euros in funding. France fell behind the 'New World' producers of Australia, Chile and the United States for the first time in 2003 in terms of exports.  Domestic consumption, accounting for 70% of sales, has suffered from strict restrictions on advertising and tough drink-driving laws.  The aid package would ""create a positive climate around French viticulture,"" Mr Bussereau said. However, wine makers and farmers said the support was much less than they had been hoping for. ""I am afraid the resources are not up to the ambitions,"" Jean-Michel Lemetayer, from the FNSEA agricultural union, told the Associated Press news agency. In an effort to tackle overcapacity, the government will agree that vines can be destroyed in areas where growers give their unanimous consent, while 500 vintners will be helped to take early retirement. The government will also seek European Union approval to distil about 250 million litres of excess wine into alcohol, with vintners receiving compensation. Production is currently outstripping demand by about 30%. The support is designed to make French producers more competitive in the face of increasing global consolidation across the wine industry. Wine makers in France's best-known regions, such as Burgundy, have found it hard to invest in new technology and to create recognisable brands to appeal to overseas buyers. "
