,text,label
942,Logitech Ranked Among Top 1% of Sustainable Companies by EcoVadis  https://t.co/VdlyjVtNoO  https://t.co/n0ogs1UABs,2
4644,BlackRock Reports Second Quarter 2022 Earnings  https://t.co/CzTlFOSlGD  https://t.co/S3vPd291zt,5
15328,$MPW - Own The Hospital With Medical Properties REIT 7.5% Yield.  https://t.co/hCMvyAWZFk #business #markets #investing,18
5610,Treasury Official Sees Price Cap On Russian Oil By December - BBG  https://t.co/zFkN3GrSql,6
7499,CityLab Daily: Training the next generation of abortion doctors  https://t.co/muqAqqQqwb via @citylab,9
7037,"$IBKR - Interactive Brokers Group Non-GAAP EPS of $0.84 misses by $0.06, revenue of $656M misses by $89.46M  https://t.co/TVPijBIIDz",7
2668,$VBTX - Veritex expands SBA Lending department  https://t.co/AkwIJHfySP,2
3787,Temasek expects to slow investments as global economic outlook worsens  https://t.co/dP2PxAiuwL  https://t.co/WX10QJMxKD,2
15675,$TCBI - Texas Capital Will Still Emerge From The Troughs But Investors Must Be Patient.  https://t.co/pAwsl5e6ea #finance #markets #economy,18
11243,"The European Union proposes to cut its natural gas consumption by 15% over the next eight months in a plan that would affect all households, power producers and industry  https://t.co/84XDlaHvMg",14
6467,"JUST IN: The ECB may consider raising interest rates on Thursday by double the quarter-point it outlined just last month because of the worsening inflation backdrop, according to people familiar with the situation  https://t.co/zgKeNiZYYV  https://t.co/qdoJVa6z06",1
7003,"$CMA - Comerica Q2 earnings top consensus thanks to rising interest rates, loan growth  https://t.co/U5JKE7gjra",7
10870,Rising interest rates and surging risk premiums in bond and equity markets have conspired to create the biggest increase in costs of capital that I have seen in decades. My estimates for costs of capital in US$ terms for US &amp; Global companies in July 2022.  https://t.co/q4BvkjK7M6  https://t.co/7xD2e8nEpC,14
1451,"American Capital Group, Artemis Real Estate Partners Sell Newly Developed Multifamily Community in Kirkland, Wash.  https://t.co/zekGIbQbl2  https://t.co/pAVeja3AIo",2
7369,Bloomberg retracted a story published today saying that some Fox News executives and hosts had failed to hand over documents in a lawsuit by Dominion Voting Systems. Fox News says it met a July 1 deadline to hand over records  https://t.co/l3l0bSXw3q,9
9651,"Privitar Announces Kormoon Acquisition, Extending Data Privacy and Provisioning Capabilities To Drive Automation of Data Compliance Requirements at Scale  https://t.co/wh3tdH2yAf  https://t.co/3D9Kw3Ssxo",13
6428,"Indonesia’s central bank is on track to issue its own digital currency for banks to use, while considering ways to ensure it would be exchangeable across borders  https://t.co/zBYumlFjCp",1
2737,"$AAPL - Apple 'most likely' winner of NFL Sunday Ticket rights, could cost $3B per year: report  https://t.co/Cqjk1uV7wa",2
6705,"$IPG: Interpublic reports EPS in-line, beats on revs  https://t.co/iI2ox3WKmE",7
1097,True Pedigree Launches Data-Driven GenuScan Platform to Protect IP Integrity through Product Verification  https://t.co/el3W0Lshxv  https://t.co/Sk8UPDUbaG,2
11303,The White House supports prohibiting semiconductor companies from expanding certain investment in China if they take new subsidies to build plants in the US  https://t.co/b2B53L8zzm,14
11934,"The S&amp;P 500’s close below 3,928 marked its 60th consecutive day below its 50-day moving average, its longest such streak since 2008, said Jonathan Krinsky, analyst at BTIG.    https://t.co/akeoDw4S1p",15
158,"$CE - Celanese cut at RBC on peak acetic/VAM prices, higher leverage  https://t.co/doKc2t1n3F",0
12222,WATCH: Wall Street ended higher with the tech-heavy Nasdaq booking a solid gain on positive earnings signals  https://t.co/znK6oTYO4F  https://t.co/pB5la1t3jI,15
7533,🎧 How did the South Beach Diet become such a sensation?   Host @emmarcourt flies down to glamorous Miami to break down the formula for a hit diet  Tune in ⤵️ @ApplePodcasts:  https://t.co/wt1ECxk3wb  https://t.co/eCFSSOHNzx,9
5930,The ECB will be pressured to maintain its hawkish stance — even when data deteriorate and a Europe-wide recession sets in — as the risk of capital outflows mounts  https://t.co/EnRfBYc8vV,1
4845,Cross Country Healthcare Announces Second Quarter 2022 Earnings Release Date and Conference Call Information  https://t.co/WxBNzBMEBV  https://t.co/zhOCXdhVTm,5
2700,$DORM - Dorman releases more than 230 new steering &amp; suspension products  https://t.co/bGPSpFT3mb,2
13338,The Jan. 6 House Committee was back Tuesday after a 2-week break for its 7th session.  Here's what happened 👇  https://t.co/i3QbGoS7D8  https://t.co/SnUJ8rTYg7,16
10297,US railroad logjams face a slow recovery amid labor market woes  https://t.co/E8teAWMBfn,14
7572,Why are people across China refusing to pay their mortgages? Here's what you need to know.  https://t.co/5HrPqiw2in  https://t.co/Q4wWgZTYyn,9
1215,"Unbabel offers a new Zendesk messaging integration, providing real-time translations on WhatsApp  https://t.co/SGOMLK4qjM  https://t.co/Se7a37KtCv",2
11150,PPI Inflation May Point To Imminent Relief.  https://t.co/6YL1GGiq2w #investing #trading #economy,14
4371,$SUMRX: Earnings Out This Afternoon/Tomorrow Morning  https://t.co/ID4Nezte4T,5
11113,#OATT | US #WASDE Corn End Stocks New Jul: 1470M (est 1450M; prev 1400M)     - Soybean End Stocks New: 230M (est 203M; prev 280M)     - Wheat End Stocks New: 639M (est 641M; prev 627M)     - Cotton End Stocks New: 2.40M (est 2.79M; prev 2.90M)     https://t.co/twS4Y9iqnH,14
1465,Blackbuck Resources Announces Expansion of Sustainability-Linked Financing  https://t.co/gQaXWJRjq3  https://t.co/xFp3XIoaB9,2
14134,"$COST has reached its ATR(14) of 13.09. if thinking time to take payday shares, drop down time frames and stalk.",18
508,$ALHC: Alignment Healthcare plans to extend its tech-enabled Medicare Advantage plans to three more counties in...  https://t.co/Kye0BD0FDw,2
10101,2022 Royalty Rates for Medical Devices &amp; Diagnostics -  https://t.co/guyiBzPH8C  https://t.co/aFJCzpWI2N  https://t.co/dMZeIA0JWB,14
10166,"Ahead of Largest Gathering of Small Business Owners in the U.S., New Goldman Sachs Survey Finds Small Businesses Facing Unprecedented Challenges  https://t.co/ChuvuGjl0C  https://t.co/JzJdsZLuWT",14
6512,Group of 20 finance chiefs started official meetings in Bali with an eye toward progress on food security and debt issues as tensions over Russia impeded prospects for a more sweeping agreement  https://t.co/N5kSRnlrsT,1
8106,The man suspected of killing Shinzo Abe tested a gun at a facility once used by the Unification Church  https://t.co/XQBR1hI9nB,9
8705,"Women are steering clear of male-dominated Facebook in India because of safety concerns, Meta's internal research found  https://t.co/eUYrtDpuB8 by @MunsifV @AdityaKalra  https://t.co/ZqSYDHr6hw",9
16711,$BONDX: New Supply  https://t.co/LRYjVM0GNp,3
5783,"Copper, a bellwether for the global economy, extends a sharp retreat after suffering one of its worst days since the depths of the pandemic on growing fears of a recession  https://t.co/TRmzf4pWSi via @markets",6
704,$SKYT: SkyWater Technology announced the Department of Defense is funding a $27 mln Other Transactional Agreement...  https://t.co/bPOT7r5Fq5,2
7669,"🔭 Now that the James Webb Space Telescope has released its first images, it’s time for the science to begin.  Meet five scientists who'll analyze the earliest galaxies and unexplored regions of our solar system. Watch in full:  https://t.co/Vf8nub7kaf  https://t.co/BoNtrAgHJT  https://t.co/6UxzfVnDit",9
2383,"DoorDash did not have a good Thursday night, but some of its customers sure did  https://t.co/jkFFsVsGDZ",2
9935,From Breakingviews - China’s multi-layered property crisis explained: podcast  https://t.co/khy7TdlleK,14
1491,Radisys’ Engage Digital Platform Awarded 2022 Unified Communications Product of the Year  https://t.co/4jFvs3LEfg  https://t.co/KDpkSePFeJ,2
8401,The surge in food prices that followed the outbreak of war in Ukraine underlines the country’s pivotal role in feeding the planet  https://t.co/KGXQvFWC9W,9
7636,"London's Heathrow should have better anticipated the disruption to flights this summer, according to Qatar Airways CEO Akbar Al Baker, who represents the Mideast state's sovereign wealth fund on the airport's board  https://t.co/xHrHTN0p67",9
3631,BlackRock's greenest ETFs attract inflows as European investors steer money to climate-friendly funds  https://t.co/gsaDEi4LPB,2
3842,Euro pauses at parity. But what comes next?  https://t.co/M0PyKpf9TR,8
9015,"CAREDX 48 HOUR DEADLINE ALERT: Former Louisiana Attorney General and Kahn Swick &amp; Foti, LLC Remind Investors With Losses in Excess of $100,000 of Deadline in Class Action Lawsuit Against CareDx, Inc. - CDNA  https://t.co/kHyEb4jIgP  https://t.co/JaFnclGgh4",12
1837,"T-Mobile Goes Big for Fans this MLB All-Star Week With More Than $150K in Fan Giveaways, 5G Batting Practice Experience and More  https://t.co/0kt8lIoHxM  https://t.co/NvzB5WiBXO",2
13761,"$QQQ Hard bounce off 1 mo ascending tl. $SPY held July lows. Paused under descending tl. Bad CPI news already baked in as expected. Mo Opex usually flat/choppy.  Wed: CPI, Beige Bk Th: $TSM ,PPI, $JPM $MS Fri: China GDP, US Retail Sales, Mo Opex, $GOOG split, $C 7/18: $BAC $GS  https://t.co/iyyWzzcgcK",18
6822,$GTE: Gran Tierra Energy reports Q2 production increased 25% yr/yr  https://t.co/JdX2nAkSGl,7
8732,From Breakingviews - Hasbro’s inflation transformation  https://t.co/A1fpaTIK1z,9
12260,"$OLN: Olin COO James A. Varilek to retire, effective November 21  https://t.co/SzMvLxAycM",17
2589,$GAXY - Galaxy Next Generation contract with Colorado school district renewed  https://t.co/TJaxbZKx8a,2
8591,@MedGarc1a RTH,9
4733,Evans Bancorp Announces Second Quarter 2022 Conference Call and Webcast  https://t.co/jvESlt8TIq  https://t.co/OdgA0pZCXR,5
8170,"🎧Calorie counts are everywhere. But calories aren’t all that they appear to be.  In the series premiere of Losing it, @emmarcourt dives into how we got the calorie so wrong  ▶️ Apple:  https://t.co/y8Xboe4dxG ▶️ Spotify:  https://t.co/Xhj8yHOIfL  https://t.co/P9p57liDMY",9
13363,"Prime Minister Mario Draghi offers his resignation to Italy’s president, raising the prospect of snap elections as soon as early October  https://t.co/KSGKZpIOWC",16
1203,NAVEX ESG Named Top Product of the Year by Environment + Energy Leader Awards  https://t.co/v0tM7pYiXY  https://t.co/xH1KsNX7sc,2
14800,"$BTC-USD $SOL-USD $ETH-USD - Crypto markets stuck for now, but new Bitcoin high likely in next two years - CoinShares  https://t.co/DXzmTygQnl",18
4600,AST SpaceMobile Provides Preliminary Financial Results for Second Quarter 2022  https://t.co/GE0mNKve7L  https://t.co/Ur41QjXDSY,5
8318,"Temperatures are soaring across Europe, drying up waterways and boosting demand for electricity to cool homes as the region faces a crunch for energy supplies  https://t.co/JwYPPhSUda",9
3396,"While Boeing may not be saying much publicly about the new airplane it’s planning, behind-the-scenes engineering work is progressing, Stan Deal, the company’s commercial airplane chief, said  https://t.co/r9ZtfHzwX5",2
5035,$CSX - CSX Corporation (CSX) CEO Jim Foote on Q2 2022 Results - Earnings Call Transcript.  https://t.co/wewHZE95JT #stockmarket #finance #trading,5
15404,$JBL - Jabil's Unique Expertise And Secular Tailwinds Drive Profit Growth.  https://t.co/HfogXNF6R2 #stocks #markets #trading,18
9769,"$MIDD - Middleby acquires CP Packaging, expands offerings in packaging inovation  https://t.co/4Aj7AFdWDK",13
2114,VistaGen CEO Joins U.S. Surgeon General to Discuss Mental Health Crisis in America at the 2022 Concordia Americas Summit  https://t.co/Uph11UEf1Y  https://t.co/1jlqCg4vCM,2
2187,ESI Group: Monthly Disclosure of the Total Number of Voting Rights and Shares  https://t.co/cSYsmlsyh5  https://t.co/v8eHVY00Nb,2
1404,"AVer Unveils VC550, 4K Dual Lens PTZ Conferencing Camera  https://t.co/xEJ5Fb7EIN  https://t.co/1mXUFtLTsO",2
8729,From Breakingviews - Hasbro’s inflation transformation  https://t.co/R6BHJeDXzS,9
3128,Digital Currency Group is the biggest creditor of the beleaguered hedge fund Three Arrows Capital  https://t.co/Iv3tLFnPnw,2
10889,Back-to-school spending to reach a new high this year: Deloitte  https://t.co/adPgCTtBZP by @yaseennshah22  https://t.co/D9woTiKmWj,14
6998,$WPNDF - Wishpond Technologies expects record revenue for Q2 2022  https://t.co/EEf6oRqHJd,7
10263,Zimbabwe businesses agree not to solely price their goods and services using the US dollar after government warnings that the local currency should be accepted  https://t.co/AikwCIwpLM,14
7039,"$ASPU - Aspen GAAP EPS of -$0.08 beats by $0.03, revenue of $19.4M beats by $0.13M  https://t.co/CoQ88piN8l",7
12692,"Rebecca Blank resigned as president of Northwestern, which was supposed to be her first day on campus, after learning she has an aggressive form of cancer  https://t.co/XBFH8JnoIJ",17
9042,"INVESTIGATION ALERT: The Schall Law Firm Encourages Investors in Humanigen, Inc. with Losses of $100,000 to Contact the Firm  https://t.co/Od5QXlqWLC  https://t.co/BooV4j2KrS",12
14717,Three narrow ranged candles in a row for $HRB... look for an expansion move(higher) before the week is out!  https://t.co/LGc1QHnApl,18
9105,"The Law Offices of Frank R. Cruz Announces Investigation of Hannon Armstrong Sustainable Infrastructure Capital, Inc. (HASI) on Behalf of Investors  https://t.co/fX0q2qCviF  https://t.co/dYdsYtTqLG",12
13484,"India Prime Minister Narendra Modi’s Bharatiya Janata Party named Jagdeep Dhankhar, governor of West Bengal state, as its Vice Presidential candidate  https://t.co/17tPhjDarG",16
9245,The Department of Labor investigates $AMZN in an OSHA probe on the retailer's warehouse safety. @DanielHowley explains:  https://t.co/C8S01NS8Un,12
1278,MetLife Foundation Announces Strategy to Drive Inclusive Economic Mobility  https://t.co/x3rDg1nRVK  https://t.co/NzsEEK56rZ,2
6662,From Breakingviews - ECB risks forgetting 1990s currency crisis lessons  https://t.co/q4KsaWIPHv,1
2854,$RELL - Richardson Electronics signs global sales distribution agreement with Altum RF  https://t.co/otJIDpTssI,2
8010,"Robert Dujarric, co-author of ""The Abe Legacy,"" discusses the political legacy of the former Japanese Prime Minister and the challenges current Premier Fumio Kishida faces.  Watch the full Japan Ahead video:  https://t.co/lOt9rPIliG  https://t.co/9Y6syWopYx",9
6659,U.S. banks boost outlook for net interest income amid Fed rate rises  https://t.co/5Yxoq02xmK  https://t.co/9QmcF1HefK,1
15751,$TWTR - Elon Musk's Twitter Options And Yours.  https://t.co/1JpOHOrirT #trading #stocks #business,18
4341,Earnings playbook: Netflix and Goldman Sachs headline a big week of corporate reports  https://t.co/1qHDCoQcyg,5
11578,The CEOs of Anheuser-Busch and Molson Coors want President Biden to suspend aluminum tariffs that have cost the industry more than $1.4 billion since 2018  https://t.co/AnfaRMNx99,14
8463,Europe’s biggest value-oriented fund recently bought its first technology stock  https://t.co/QKJPVlD2KN,9
5288,$PM Phillip Morris International Inc Q2 22 Earnings:   - Adj EPS: $1.48 (est $1.257)  - Revenue: 7.83Bln (est 6.746Bln),5
15121,$LCID - Lucid Motors: Darwinism Is Eating EV Manufacturers.  https://t.co/pzxsvZgeqM #investing #economy #trading,18
16680,U.S. Treasury yields tick higher as traders prepare for key inflation figures  https://t.co/npxVcTrl4Y,3
4516,Cactus Announces Timing of Second Quarter 2022 Earnings Release and Conference Call  https://t.co/Bs9ua7fZrJ  https://t.co/b1CmiyrRuj,5
16933,Inter-American Investment Corporation is helping companies in Latin America and the Caribbean bring about $1 billion of ESG bonds as sustainable financing gains traction in the regions  https://t.co/oO5rsGsMcl,3
8068,These are the best and worst countries for remote working  https://t.co/BDNtiqUI2q,9
8454,"Whether the US or other parts of the world formally enter a recession or not is TBD.   Read in full as to why this is a very different environment, with its own set of stresses and pressure points  https://t.co/QvY9w1vPe4  https://t.co/d7mkbR3nT7",9
5844,"ECB’s Anti-Fragmentation Tool: What It Is, How It Works.   The ECB’s new tool designed to counter disorderly increases in euro-area borrowing costs may be tested sooner than expected amid fresh political uncertainty in Italy. Tom Mackenzie explains  https://t.co/5dM3cxQy71  https://t.co/mM099uZ7Q0",1
15917,"$NDAQ (161.00, +1.68, +1.1%):  beats by $0.15, beats on revs; announces 3-for-1 stock split and quarterly dividend of $0.20/share",19
13713,"Rep. Thompson said the Jan. 6 Committee is ""concerned"" about a witness that former President Trump allegedly phoned in the last few weeks, but that it will be up to DOJ to determine if the call amounted to anything illegal.  https://t.co/Lx1sLfND3u",16
11567,French Finance Minister Bruno Le Maire said Europe must prepare for Russian gas deliveries to be shut off entirely  https://t.co/b41oYKPaxp via @bpolitics,14
15595,$VWO - Vanguard FTSE Emerging Markets ETF: Just Too Risky Right Now.  https://t.co/lg0zxXjvnl #investing #stockmarket #business,18
1825,"IPG Mediabrands Launches New Talent Attraction Campaign, “We See You at Mediabrands,” Featuring Personal Stories of Why People Join and Stay  https://t.co/ynZVwtGf8n  https://t.co/Vu5Rrp9eoE",2
9205,$TWTR - SEC questioned Elon Musk as he tweeted his Company deal concerns  https://t.co/8LxfQ3KX0x,12
5579,"""I think you're going to see supply upended at the end of the year, if not before,"" Truist's Neal Dingmann says, adding: ""I do think... that if trade flows and price caps happen... there's a very good chance for some price spikes in oil.""  https://t.co/Jb7k9tf4PH  https://t.co/zlGyhqqXLf",6
15090,"$HKD - After Ho-Hum Pricing, AMTD Digital Storms Out Of The Gate In U.S. Trading Debut.  https://t.co/aN0zrbUweT #stockmarket #markets #stocks",18
7507,"An explosion reported at Hoover Dam was caused by an electrical transformer that caught fire on Tuesday morning, the US Bureau of Reclamation said  https://t.co/pLbJg3WnzP",9
16492,$ITHX (+17.9% pre) ITHAX Acquisition Corp. Shareholders Approve Business Combination with Mondee - BW   https://t.co/DsQL01chbm,19
10007,Santoli: There’s little for the market to like in June’s hot inflation report  https://t.co/yrjWB0MlGX,14
13375,Liz Truss vows to bring in an emergency budget to axe the national insurance tax rise if she wins the race to be the next UK prime minister  https://t.co/E9PVmTf9MF,16
10917,"Online inflation slows to 0.3% in June, while online grocery prices increase by 12.4%.  “Another category that was up 11.3% year over year was pets products,” @ines_ferre says.  https://t.co/A2ywthf13I",14
4887,$WDS - Woodside Energy Group reports Q2 results  https://t.co/AUFTwCJNns,5
9460,Norwegian oil giant Equinor to buy U.S.-based energy storage firm  https://t.co/dDTyKwoemn,13
14691,"$RBLX keeps on coiling ... only a matter of time before this makes a big move, imo First target $45  https://t.co/Xer8xNNEny",18
5234,"$OPTT - Ocean Power Technologies, Inc. 2022 Q4 - Results - Earnings Call Presentation.  https://t.co/jRFB0MwViD #business #economy #markets",5
14030,$WIRES: On The Wires  https://t.co/1ODGYP6vNo,18
8029,"A generic antidepressant and a gout medicine that garnered some popularity as Covid-19 treatments shouldn’t be used for mild infection, according to a panel of experts advising the WHO  https://t.co/1tevRsqX6q",9
4774,Spirit AeroSystems to Release Second Quarter 2022 Financial Results August 3  https://t.co/kOJqR6QtVJ  https://t.co/Di8K6RdLkU,5
3531,Shein became one of the world’s top startups by turbocharging fast fashion—but its business model is becoming the biggest threat to continued success  https://t.co/F5ZdleIPrB,2
5310,$BK | BNY Mellon Q2 22 Earnings:  - EPS: $1.03 (exp $1.12)  - Revenue: $4.30B (exp $4.18B)  - Provision For Credit Losses: $47M (exp $3.9M),5
13444,Sri Lanka's main opposition leader exits the presidential race and throws his support behind a candidate backed by a faction of the ruling party controlled by the Rajapaksa clan  https://t.co/T1ved5OFwi,16
8968,S.Korea shipyard workers willing to end strike if lawsuits dropped  https://t.co/oS8i5IY8w0  https://t.co/RsG4kV2VbF,12
6345,"Fed’s Waller: 75Bp July Hike Would Lift Rates To Neutral Level, 75Bp Hike Is His July Base Case   - Would Lean Toward Larger July Hike If Data Warrant   - Sees Retail Sales, Housing As Key Data Before July FOMC Meeting",1
4505,"CareMax, Inc. Schedules Second Quarter 2022 Earnings Conference Call  https://t.co/qRCwBeh0yi  https://t.co/yFfl8xZJqJ",5
11350,Moody’s chief economist says he’s never seen so many people convinced that a recession is imminent  https://t.co/UCH92ERqDi,14
16549,$VSCO (-0.0% pre) Victoria's Secret &amp; Co. (VSCO) Announces New Corporate Leadership Structure - SI   https://t.co/m775HNPexz,19
3357,$INUV - Inuvo Applying Artificial Intelligence To Digital Marketing.  https://t.co/nMUq4aBmqt #economy #markets #stocks,2
1970,Sun Valley Announces Overwhelming Shareholder Support for Positive Change at Canagold; Reminds Shareholders to Vote the BLUE Proxy Only  https://t.co/mT9JAviWPu  https://t.co/2PHEiXM9BY,2
16591,$MDWD (+1.2% pre) MediWound (MDWD) Reports Positive Initial Data from Phase I/II Study of MW005 - SI   https://t.co/ncpoFtrkEY,19
14904,+Initiations 7/11: $BCOR $BYD $HDSN $KTB $SST $STR  . -Initiations 7/11:,18
3194,$BABA | Alibaba Cuts A Third Of Deals Team Staff After Regulatory Crackdown – RTRS Sources  https://t.co/d7bZ597nhC,2
7152,$ACAN - AmeriCann sets a record of monthly and quarterly revenue  https://t.co/8QfvzF2R2i,7
10110,ESG: EUROAPI Moves Forward With Its Carbon Reduction Ambition and Invests to Build a State-of-the-Art Biomass Boiler in France  https://t.co/6rnKcGRgeO  https://t.co/3xev3gVfUl,14
6463,Nigeria’s central bank raises its key interest rate by 100 basis points to 14% to curb accelerating inflation  https://t.co/FXvZZ71Ci9,1
5413,The largest LNG exporter in the US is among companies warning new federal air pollution requirements threaten to disrupt gas supply to Europe  https://t.co/2AUNKS1oJv,6
1883,DNAnexus and Twist Bioscience Collaborate to Provide Data Analysis Software for NGS Workflow  https://t.co/SnQ6gktRWU  https://t.co/LQalTUWdOP,2
13674,Commerce Secretary Gina Raimondo said US lawmakers are playing politics with national security by delaying the passage of legislation that will liberate billions of dollars for chipmakers  https://t.co/phOQzttwka,16
12317,"Shift4 Appoints Samantha Weeks, PhD as Chief Transformation Officer  https://t.co/DwXlG4mK3S  https://t.co/KRA1oJZz1Q",17
11829,$DIA: Top-Five for the Dow Jones Industrial Average  https://t.co/YyQxYklwAz,15
4227,$MSB - Mesabi Trust dips dividend -19.2% to $0.84/share  https://t.co/vrekP3t9UI,4
15693,$FVD - FVD: Finally Outperforming In 2022.  https://t.co/SPhYZy41Dp #stockmarket #trading #finance,18
10982,PC Shipments Suffer Steepest Decline in Years - WSJ   https://t.co/HQZ6yt9Eg1,14
9701,$NUVG - Pro Music Rights agrees to go public through reverse merger with Nuvus Gro  https://t.co/ets9ivW8zm,13
3696,Singapore’s Temasek to slow pace of investment after drop in returns  https://t.co/iDilh8LpKq,2
11628,"Shipping strains are on the mend, but a painful spell of weaker demand might be next  https://t.co/IHJMZNoef8",14
3592,"HBO, the premium TV unit of the newly formed Warner Bros. Discovery, led all TV networks in nominations for Emmy Awards this year thanks to “Succession”  https://t.co/R4SNGLP9ye",2
5572,Energy prices up 41% over past 12 months  https://t.co/32NjF8rNuj by @Ines_Ferre  https://t.co/tn4JBVT0zl,6
7932,A delayed deal between Thailand’s oldest bank and its largest crypto exchange is raising doubts about the 115-year-old financial group’s ambition to become a regional fintech powerhouse  https://t.co/m86vi9DNwK,9
15461,"$SNA - Forget Tesla, GM And Ford: Consider Snap-on Instead.  https://t.co/Oyo8p3U6iB #markets #stockmarket #investing",18
2677,$MRMD - MariMed announces kitchen expansion in Maryland  https://t.co/GnGOAwGTPL,2
13972,$WIRES: On The Wires  https://t.co/nJBswyOCC5,18
16977,"Even by the standards of Argentina’s debt crisis and default of 2020, the nation’s sovereign bonds are now trading at unprecedented lows  https://t.co/HPFFXF9fqZ",3
2924,$EXEL - Exelixis says phase 3 trial evaluating its kidney cancer combo treatment met main goal  https://t.co/18OSRFmhxj,2
13176,"On Wednesday, Penny Mordaunt discovered the perils of being a favourite to become Britain’s next prime minister, as rivals attacked her competence and the Conservative leadership campaign turned increasingly ugly  https://t.co/Wzdp6yJXag",16
13455,"President Jair Bolsonaro told foreign ambassadors that Brazil’s electronic voting machines are subject to fraud, rehashing old and debunked conspiracy theories  https://t.co/fSbFh1iRZf",16
11346,"Shipping strains are on the mend, but a painful spell of weaker demand might be next  https://t.co/jqayaMX0WT",14
11914,China tech stocks: M&amp;A goes on the chopping block  https://t.co/Koy3bvvw12  | opinion,15
11376,Spain will make some rail services free as the country tries to ease the cost of living while promoting sustainable travel  https://t.co/Gbem4C7WTT via @citylab,14
15443,"$HLUBF - Lundbeck Gets A Much-Needed Win, But The Investment Case Is Still Not Clear-Cut.  https://t.co/CVZBCkF0m7 #markets #investing #stocks",18
15852,"Stocks making the biggest moves after hours: Carnival, United Airlines, Las Vegas Sands and more  https://t.co/RTfEKe4OGP",19
